Компания(последняя дата покупки дивидендов);Рабочих дней от минимальной стоимости до конечной даты;От минимальной стоимости до стоимости в последней дате;Стоимость акции в последний день для получения дивидендов;Стоимость акции на следующий день после последнего дня покупки для получения дивидендов;От стоимости с последней даты до максимальной стоимости после;Рабочих дней от конечной даты до максимальной стоимости;
МРСК Центра (MRKC 2019-06-06);3;+1.42%;0.30;0.29;+2.54%;8
Банк Санкт-Петербург (BSPB 2019-06-06);1;+0.50%;54.39;51.13;-4.82%;17
ФосАгро (PHOR 2019-06-06);19;+7.68%;2453.00;2405.00;+3.55%;14
Акрон (AKRN 2019-06-07);21;+2.70%;4634.00;4530.00;-0.09%;19
ММК (MAGN 2019-06-07);15;+6.23%;45.60;45.44;+3.07%;6
Сбербанк, АП (SBERP 2019-06-10);20;+10.66%;220.10;206.71;-4.41%;14
Сбербанк (SBER 2019-06-10);20;+11.05%;249.00;235.89;-1.97%;7
Магнит (MGNT 2019-06-11);13;+6.45%;3781.00;3650.00;+4.07%;18
НК Роснефть (ROSN 2019-06-13);17;+3.38%;422.00;408.00;+0.30%;19
Северсталь (CHMF 2019-06-14);19;+15.19%;1121.00;1059.60;-1.94%;4
НЛМК (NLMK 2019-06-17);20;+16.35%;182.00;175.54;-3.55%;1
ММК (MAGN 2019-06-18);16;+7.06%;47.00;46.40;-1.28%;1
ГМК Норильский никель (GMKN 2019-06-19);21;+11.30%;14868.00;14224.00;+0.23%;22
Селигдар, АП (SELGP 2019-06-20);22;+12.80%;25.55;23.85;-4.50%;2
МРСК Сибири (MRKS 2019-06-20);22;+19.59%;0.29;0.30;+2.22%;4
Банк ВТБ (VTBR 2019-06-20);21;+15.82%;0.04;0.04;+8.86%;15
Юнипро (UPRO 2019-06-21);20;+4.42%;2.60;2.60;+3.08%;6
МОЭСК (MSRS 2019-06-21);19;+11.10%;0.79;0.73;-6.70%;11
МРСК Северо-Запада (MRKZ 2019-06-21);22;+23.48%;0.07;0.07;-0.65%;3
МРСК Центра и Приволжья (MRKP 2019-06-21);11;+8.03%;0.30;0.27;-10.59%;18
ТГК-1 (TGKA 2019-06-24);15;+17.26%;0.01;0.01;+2.12%;7
ОГК-2 (OGKB 2019-06-26);21;+25.50%;0.56;0.56;+3.27%;3
Мосэнерго (MSNG 2019-06-28);22;+10.33%;2.51;2.34;-6.75%;1
Ростелеком, АП (RTKMP 2019-07-02);18;+7.33%;65.15;63.05;+0.54%;5
Ростелеком (RTKM 2019-07-02);18;+4.99%;80.66;79.19;+4.28%;13
Аэрофлот (AFLT 2019-07-03);16;+9.64%;104.60;110.60;+5.74%;1
Татнефть им. В.Д. Шашина, АП (TATNP 2019-07-03);21;+13.61%;664.50;656.10;+1.58%;18
Татнефть им. В.Д. Шашина (TATN 2019-07-03);19;+4.01%;780.00;760.50;-2.22%;2
Россети, АП (RSTIP 2019-07-04);21;+8.80%;1.67;1.62;-2.94%;1
Россети (RSTI 2019-07-04);21;+13.43%;1.40;1.35;-3.56%;1
Энел Россия (ENRU 2019-07-04);21;+2.48%;1.14;1.01;-10.99%;2
РусГидро (HYDR 2019-07-05);21;+14.33%;0.62;0.59;-4.79%;1
ЛУКОЙЛ (LKOH 2019-07-05);21;+6.86%;5460.00;5357.50;-1.58%;2
МТС (MTSS 2019-07-05);21;+9.81%;284.95;268.60;-4.91%;2
ФосАгро (PHOR 2019-07-08);19;+4.25%;2501.00;2436.00;-0.68%;23
Группа ЛСР (LSRG 2019-07-08);19;+10.49%;790.00;746.40;-1.42%;17
АК АЛРОСА (ALRS 2019-07-11);6;-2.13%;82.52;79.50;-0.63%;12
ФСК ЕЭС (FEES 2019-07-12);21;+8.34%;0.20;0.18;-8.22%;11
ТМК (TRMK 2019-07-16);12;+0.07%;60.00;58.06;-2.70%;11
ОР (OBUV 2019-07-16);10;+4.57%;58.40;58.20;+9.76%;9
Газпром (GAZP 2019-07-16);17;+3.89%;238.01;220.19;-0.38%;10
Мечел, АП (MTLRP 2019-07-16);1;-3.77%;116.15;100.50;-12.40%;10
Сургутнефтегаз, АП (SNGSP 2019-07-16);18;+2.33%;41.95;34.54;-17.65%;1
Сургутнефтегаз (SNGS 2019-07-16);21;+6.68%;26.83;26.41;+0.93%;12
АФК Система (AFKS 2019-07-16);21;+23.23%;11.57;11.62;+4.82%;12
